,E+,SiteKBTU,OS
pv_and_storage_facilityexcess.rb,25.1.0-1c11a3d85f,7090468.226324677,3.10.0
space_load_instances.rb,25.1.0-1c11a3d85f,4986645.955221222,3.10.0
utility_bill02.py,25.1.0-1c11a3d85f,7081170.1403744025,3.10.0
exterior_equipment.rb,25.1.0-1c11a3d85f,4927341.038003217,3.10.0
roof_vegetation.py,25.1.0-1c11a3d85f,4762818.9422592325,3.10.0
python_plugin.osm,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
additional_props.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
baseline_sys03.rb,25.1.0-1c11a3d85f,7146389.436423163,3.10.0
baseline_sys04.osm,25.1.0-1c11a3d85f,4464247.071189334,3.10.0
zone_hvac.osm,25.1.0-1c11a3d85f,3808547.187356581,3.10.0
availability_managers.py,25.1.0-1c11a3d85f,4283830.082337694,3.10.0
schedule_fixed_interval.rb,25.1.0-1c11a3d85f,4248978.846823773,3.10.0
daylighting_shades.rb,25.1.0-1c11a3d85f,7121831.494835845,3.10.0
heatpump_varspeed.py,25.1.0-1c11a3d85f,1578816.8899907053,3.10.0
interior_partitions.osm,25.1.0-1c11a3d85f,6130338.96161849,3.10.0
unitary_vav_bypass_plenum.rb,25.1.0-1c11a3d85f,3806054.428330157,3.10.0
output_objects_2.osm,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
ems_scott.osm,25.1.0-1c11a3d85f,,3.10.0
vrf.py,25.1.0-1c11a3d85f,3812755.495370772,3.10.0
foundation_kiva_customblocks.osm,25.1.0-1c11a3d85f,4614447.650245385,3.10.0
multi_stage.py,25.1.0-1c11a3d85f,2979633.7247865694,3.10.0
water_economizer.osm,25.1.0-1c11a3d85f,6782039.05720352,3.10.0
coilsystem_dxhx.osm,25.1.0-1c11a3d85f,1160459.89125561,3.10.0
baseline_sys07.osm,25.1.0-1c11a3d85f,7568594.57266673,3.10.0
ghx_vertical_xing.py,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
doas_heatexchanger_airtoair_sensibleandlatent.py,25.1.0-1c11a3d85f,3284698.1431306135,3.10.0
baseline_sys10.rb,25.1.0-1c11a3d85f,5918331.228146806,3.10.0
heatpump_plantloop_eir_heatrecovery.py,25.1.0-1c11a3d85f,1170042.3223419779,3.10.0
utility_bill01.py,25.1.0-1c11a3d85f,7082610.82239728,3.10.0
airloop_and_zonehvac.py,25.1.0-1c11a3d85f,4539333.143460555,3.10.0
fluid_coolers.py,25.1.0-1c11a3d85f,5310562.456088298,3.10.0
space_load_instances.osm,25.1.0-1c11a3d85f,4986645.955221222,3.10.0
plant_op_temp_schemes.rb,25.1.0-1c11a3d85f,,3.10.0
photovoltaics_sandia.rb,25.1.0-1c11a3d85f,1960493.3661696748,3.10.0
meters.py,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
outputcontrol_timestamp.py,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
coil_waterheating_desuperheater.osm,25.1.0-1c11a3d85f,2662949.068547484,3.10.0
surface_properties_ground_and_solarmult.rb,25.1.0-1c11a3d85f,2582024.4428151324,3.10.0
baseline_sys05.py,25.1.0-1c11a3d85f,7416744.791821334,3.10.0
zone_hvac.py,25.1.0-1c11a3d85f,4975556.494913556,3.10.0
utility_bill02.osm,25.1.0-1c11a3d85f,5658136.472278395,3.10.0
setpoint_managers.rb,25.1.0-1c11a3d85f,8019821.869134291,3.10.0
baseline_sys02.py,25.1.0-1c11a3d85f,4275603.029733375,3.10.0
heatexchanger_airtoair_sensibleandlatent.py,25.1.0-1c11a3d85f,3458679.4537353264,3.10.0
schedule_fixed_interval.py,25.1.0-1c11a3d85f,4248978.846823773,3.10.0
heatexchanger_desiccant_balancedflow.py,25.1.0-1c11a3d85f,5271701.954155452,3.10.0
unitary_system_performance_multispeed.rb,25.1.0-1c11a3d85f,2148995.2350575873,3.10.0
zone_hvac_evaporative_cooler.rb,25.1.0-1c11a3d85f,8773649.259433081,3.10.0
dsn_oa_w_ideal_loads.osm,25.1.0-1c11a3d85f,6495826.721382508,3.10.0
shadowcalculation.osm,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
sizing_zone_dszad.osm,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
headered_pumps.osm,25.1.0-1c11a3d85f,7695649.45764473,3.10.0
multiple_airloops.rb,25.1.0-1c11a3d85f,13207405.053861935,3.10.0
heatpump_hot_water.osm,25.1.0-1c11a3d85f,4531693.737470829,3.10.0
water_economizer.rb,25.1.0-1c11a3d85f,7916926.842553076,3.10.0
hot_water.osm,25.1.0-1c11a3d85f,7156246.734474421,3.10.0
baseline_sys02.osm,25.1.0-1c11a3d85f,3957098.5646232874,3.10.0
epw_design_conditions.osm,25.1.0-1c11a3d85f,5648080.132631871,3.10.0
zone_fan_exhaust.rb,25.1.0-1c11a3d85f,4124492.546241822,3.10.0
chillers_tertiary.osm,25.1.0-1c11a3d85f,3154714.5032508457,3.10.0
airterminal_fourpipebeam.osm,25.1.0-1c11a3d85f,6123941.196056375,3.10.0
coil_waterheating_desuperheater.rb,25.1.0-1c11a3d85f,2656077.3944252124,3.10.0
ems.rb,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
setpoint_manager_systemnodereset.osm,25.1.0-1c11a3d85f,3194835.601953708,3.10.0
zone_air_movement.py,25.1.0-1c11a3d85f,34215288.13887525,3.10.0
baseline_sys08.py,25.1.0-1c11a3d85f,6557302.139806029,3.10.0
baseline_sys01.osm,25.1.0-1c11a3d85f,5653985.033291423,3.10.0
vrf_fluid_temperature_control.rb,25.1.0-1c11a3d85f,1323645.564859954,3.10.0
daylighting_devices.rb,25.1.0-1c11a3d85f,2943142.7656545066,3.10.0
schedule_fixed_interval.osm,25.1.0-1c11a3d85f,4177930.475485087,3.10.0
lowtemprad_varflow.py,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
dsn_oa_w_ideal_loads.rb,25.1.0-1c11a3d85f,6494499.7774140695,3.10.0
airloop_and_zonehvac.rb,25.1.0-1c11a3d85f,4539333.143460555,3.10.0
coil_cooling_dx.osm,25.1.0-1c11a3d85f,1097050.925906649,3.10.0
fan_on_off.osm,25.1.0-1c11a3d85f,7585617.368147557,3.10.0
unitary_vav_bypass.py,25.1.0-1c11a3d85f,4590960.742004022,3.10.0
coilsystem_cooling_water.py,25.1.0-1c11a3d85f,4477469.120017705,3.10.0
baseline_sys03.py,25.1.0-1c11a3d85f,7146389.436423163,3.10.0
heatexchanger_desiccant_balancedflow.rb,25.1.0-1c11a3d85f,5271701.954155452,3.10.0
space_load_instances.py,25.1.0-1c11a3d85f,4986645.955221222,3.10.0
cooling_coils.osm,25.1.0-1c11a3d85f,8176287.519355614,3.10.0
baseline_sys05.osm,25.1.0-1c11a3d85f,6988568.407719792,3.10.0
multiple_loops_w_plenums.rb,25.1.0-1c11a3d85f,6493788.914573834,3.10.0
ideal_plant.py,25.1.0-1c11a3d85f,7161668.248402613,3.10.0
unitary_system_performance_multispeed.py,25.1.0-1c11a3d85f,2148995.2350575873,3.10.0
vrf_airloophvac.rb,25.1.0-1c11a3d85f,1890667.6789161928,3.10.0
infiltration.rb,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
ExampleModel.rb,25.1.0-1c11a3d85f,162702.28687298406,3.10.0
multi_stage_electric.py,25.1.0-1c11a3d85f,2177903.6572271436,3.10.0
dual_duct.osm,25.1.0-1c11a3d85f,5386236.174974113,3.10.0
zone_hvac2.py,25.1.0-1c11a3d85f,4223766.911423439,3.10.0
air_chillers.osm,25.1.0-1c11a3d85f,4223624.738855392,3.10.0
chiller_reformulated.osm,25.1.0-1c11a3d85f,1403669.7643280074,3.10.0
coil_waterheating_desuperheater_2.py,25.1.0-1c11a3d85f,4678595.912948191,3.10.0
zone_hvac_cooling_panel.py,25.1.0-1c11a3d85f,1045034.7223438543,3.10.0
fan_systemmodel.rb,25.1.0-1c11a3d85f,12020444.195922365,3.10.0
vrf_fluid_temperature_control_hr.py,25.1.0-1c11a3d85f,1364591.2644574894,3.10.0
humidity_control.py,25.1.0-1c11a3d85f,7920367.418699815,3.10.0
humidity_control.osm,25.1.0-1c11a3d85f,7923789.038504146,3.10.0
doas_heatexchanger_airtoair_sensibleandlatent.osm,25.1.0-1c11a3d85f,3284698.1431306135,3.10.0
photovoltaics.osm,25.1.0-1c11a3d85f,5648610.9102192465,3.10.0
performanceprecisiontradeoffs.py,25.1.0-1c11a3d85f,4411842.26260721,3.10.0
elcd_no_generators.rb,25.1.0-1c11a3d85f,1051195.5336258907,3.10.0
transformer.rb,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
photovoltaics_sandia.py,25.1.0-1c11a3d85f,1960493.3661696748,3.10.0
baseline_sys04.rb,25.1.0-1c11a3d85f,4437111.067034763,3.10.0
zone_air_movement.osm,25.1.0-1c11a3d85f,34216814.124438964,3.10.0
setpoint_managers.py,25.1.0-1c11a3d85f,8019821.869134291,3.10.0
zone_control_contaminant_controller.osm,25.1.0-1c11a3d85f,6764324.355224865,3.10.0
multi_stage_electric.osm,25.1.0-1c11a3d85f,2176927.405593221,3.10.0
vrf_fluid_temperature_control.osm,25.1.0-1c11a3d85f,1323645.564859954,3.10.0
moisture_settings.rb,25.1.0-1c11a3d85f,,3.10.0
unitary_vav_bypass.osm,25.1.0-1c11a3d85f,4590960.742004022,3.10.0
water_heaters.osm,25.1.0-1c11a3d85f,6302557.332379419,3.10.0
ghx_vertical_xing.rb,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
coil_userdefined.osm,25.1.0-1c11a3d85f,3133075.8383940924,3.10.0
transformer.osm,25.1.0-1c11a3d85f,5648089.610803074,3.10.0
ideal_plant.rb,25.1.0-1c11a3d85f,7161668.248402613,3.10.0
evaporative_cooling.osm,25.1.0-1c11a3d85f,7408773.649839498,3.10.0
hightemprad.osm,25.1.0-1c11a3d85f,4425301.26571566,3.10.0
pv_and_storage_demandleveling.py,25.1.0-1c11a3d85f,7098088.675971996,3.10.0
chillers_tertiary.py,25.1.0-1c11a3d85f,3154714.5032508457,3.10.0
baseline_sys07.py,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
hot_water.rb,25.1.0-1c11a3d85f,7154682.8362259045,3.10.0
zone_hvac2.osm,25.1.0-1c11a3d85f,4223624.738855392,3.10.0
design_day.py,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
coilsystem_dxhx_desiccant_balancedflow.rb,25.1.0-1c11a3d85f,1160459.89125561,3.10.0
plant_op_deltatemp_schemes.rb,25.1.0-1c11a3d85f,3083836.7389938156,3.10.0
chiller_electric_ashrae205.py,25.1.0-1c11a3d85f,3136905.0195601583,3.10.0
humidity_control.rb,25.1.0-1c11a3d85f,7920367.418699815,3.10.0
chiller_electric_ashrae205.osm,25.1.0-1c11a3d85f,3136905.0195601583,3.10.0
schedule_ruleset_2012_NonLeapYear.rb,25.1.0-1c11a3d85f,6791223.405099357,3.10.0
interior_partitions.py,25.1.0-1c11a3d85f,3587592.0602691406,3.10.0
chiller_reformulated.rb,25.1.0-1c11a3d85f,1403669.7643280074,3.10.0
schedule_ruleset_2012_NonLeapYear.osm,25.1.0-1c11a3d85f,6792683.043464638,3.10.0
surface_properties.rb,25.1.0-1c11a3d85f,8783098.996122604,3.10.0
heatpump_varspeed.osm,25.1.0-1c11a3d85f,1578816.8899907053,3.10.0
coil_userdefined.py,25.1.0-1c11a3d85f,3133075.8383940924,3.10.0
shadingcontrol_singlezone.rb,25.1.0-1c11a3d85f,6468169.417811765,3.10.0
solar_collector_flat_plate_photovoltaicthermal.rb,25.1.0-1c11a3d85f,7160331.826262971,3.10.0
scheduled_infiltration.osm,25.1.0-1c11a3d85f,746178.5061378622,3.10.0
photovoltaics.rb,25.1.0-1c11a3d85f,7085634.359011078,3.10.0
output_objects_2.py,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
zone_mixing.py,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
baseline_sys08.rb,25.1.0-1c11a3d85f,6557302.139806029,3.10.0
tablelookup.osm,25.1.0-1c11a3d85f,2245065.9783725454,3.10.0
air_terminals.py,25.1.0-1c11a3d85f,8524525.00752993,3.10.0
multiple_loops_w_plenums.osm,25.1.0-1c11a3d85f,6493788.914573834,3.10.0
solar_collector_flat_plate_photovoltaicthermal.py,25.1.0-1c11a3d85f,7160331.826262971,3.10.0
additional_props.rb,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
coil_waterheating_desuperheater.py,25.1.0-1c11a3d85f,2655821.483802728,3.10.0
plenums.osm,25.1.0-1c11a3d85f,5223856.145922036,3.10.0
python_plugin.py,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
plant_op_temp_schemes.osm,25.1.0-1c11a3d85f,,3.10.0
doas.osm,25.1.0-1c11a3d85f,5759524.46963831,3.10.0
surface_properties_lwr.osm,25.1.0-1c11a3d85f,1953943.94986831,3.10.0
ideal_loads_w_plenums.rb,25.1.0-1c11a3d85f,1145512.815268269,3.10.0
airterminal_cooledbeam.rb,25.1.0-1c11a3d85f,6212931.745482592,3.10.0
solar_collector_flat_plate_water.py,25.1.0-1c11a3d85f,7567182.325157464,3.10.0
multiple_loops_w_plenums.py,25.1.0-1c11a3d85f,6493788.914573834,3.10.0
lowtemprad_electric.osm,25.1.0-1c11a3d85f,2104267.745150002,3.10.0
fuelcell.rb,25.1.0-1c11a3d85f,7458827.871963244,3.10.0
meters.osm,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
daylighting_devices.py,25.1.0-1c11a3d85f,2943142.7656545066,3.10.0
unitary_systems_airloop_and_zonehvac.rb,25.1.0-1c11a3d85f,7295452.634934838,3.10.0
ghx_horizontal_trench_xing.py,25.1.0-1c11a3d85f,,3.10.0
headered_pumps.py,25.1.0-1c11a3d85f,7694521.555271557,3.10.0
fan_componentmodel.rb,25.1.0-1c11a3d85f,3925356.169263995,3.10.0
zone_property_user_view_factors_by_surface_name.py,25.1.0-1c11a3d85f,4511164.018644843,3.10.0
output_tables.py,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
ptac_othercoils.osm,25.1.0-1c11a3d85f,4895816.640581597,3.10.0
vrf_airloophvac.osm,25.1.0-1c11a3d85f,1890677.157087396,3.10.0
shadowcalculation.py,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
plant_op_temp_schemes.py,25.1.0-1c11a3d85f,,3.10.0
airterminal_inletsidemixer.rb,25.1.0-1c11a3d85f,3364286.346723323,3.10.0
lowtemprad_constflow.py,25.1.0-1c11a3d85f,8999011.736129979,3.10.0
transformer.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
generator_windturbine.osm,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
doas_coil_cooling_dx_two_speed.rb,25.1.0-1c11a3d85f,3392104.779204519,3.10.0
air_chillers.py,25.1.0-1c11a3d85f,12550416.138745556,3.10.0
coil_waterheating_desuperheater_2.osm,25.1.0-1c11a3d85f,4678804.43271466,3.10.0
surface_properties_ground_and_solarmult.osm,25.1.0-1c11a3d85f,2576650.3197429567,3.10.0
dual_duct.py,25.1.0-1c11a3d85f,5386236.174974113,3.10.0
pvwatts.osm,25.1.0-1c11a3d85f,5653985.033291423,3.10.0
refrigeration_system_2.osm,25.1.0-1c11a3d85f,3681141.610044065,3.10.0
surfacecontrol_moveableinsulation.osm,25.1.0-1c11a3d85f,2952573.5460016243,3.10.0
vrf.osm,25.1.0-1c11a3d85f,3764653.7765148715,3.10.0
coolingtowers.osm,25.1.0-1c11a3d85f,7603606.937091103,3.10.0
centralheatpumpsystem.py,25.1.0-1c11a3d85f,4631290.360473353,3.10.0
tablelookup.rb,25.1.0-1c11a3d85f,2245065.9783725454,3.10.0
ghx_horizontal_trench_kusuda.osm,25.1.0-1c11a3d85f,729.8191826412543,3.10.0
surface_properties_lwr.py,25.1.0-1c11a3d85f,1953811.255471466,3.10.0
ghx_horizontal_trench_xing.rb,25.1.0-1c11a3d85f,,3.10.0
airterminal_cooledbeam.osm,25.1.0-1c11a3d85f,6210382.117428949,3.10.0
coil_cooling_dx_singlespeed_thermalstorage.osm,25.1.0-1c11a3d85f,1137010.8956990584,3.10.0
vrf_airloophvac.py,25.1.0-1c11a3d85f,1890667.6789161928,3.10.0
daylighting_no_shades.py,25.1.0-1c11a3d85f,7011401.32214814,3.10.0
plantloop_avms_temp.py,25.1.0-1c11a3d85f,7092022.64640199,3.10.0
baseline_sys10.osm,25.1.0-1c11a3d85f,5905668.391419421,3.10.0
ptac_othercoils.py,25.1.0-1c11a3d85f,4540906.519880275,3.10.0
heatexchanger_airtoair_sensibleandlatent.osm,25.1.0-1c11a3d85f,3465020.3502702224,3.10.0
