,E+,SiteKBTU,OS
surface_properties_ground_and_solarmult.py,25.1.0-1c11a3d85f,2582024.4428151324,Transition
heatpump_airtowater_fuelfired.osm,25.1.0-1c11a3d85f,2114172.434057276,Transition
air_terminals.osm,25.1.0-1c11a3d85f,9938800.845434243,Transition
airloop_avms.py,25.1.0-1c11a3d85f,4182461.0413201842,Transition
fuelcell.py,25.1.0-1c11a3d85f,7458827.871963244,Transition
heatpump_varspeed.rb,25.1.0-1c11a3d85f,1578816.8899907053,Transition
outputcontrol_files.py,25.1.0-1c11a3d85f,1960445.9753136593,Transition
surfacecontrol_moveableinsulation.rb,25.1.0-1c11a3d85f,2952573.5460016243,Transition
infiltration.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
unitary_test.rb,25.1.0-1c11a3d85f,3395317.879242381,Transition
dsn_oa_w_ideal_loads.py,25.1.0-1c11a3d85f,6494499.7774140695,Transition
vrf_watercooled.py,25.1.0-1c11a3d85f,6685731.3596084835,Transition
baseline_sys06.py,25.1.0-1c11a3d85f,6708791.750145706,Transition
lowtemprad_varflow.rb,25.1.0-1c11a3d85f,2089235.3656218331,Transition
coil_cooling_dx_airloop.osm,25.1.0-1c11a3d85f,1095534.4185141479,Transition
lifecyclecostparameters.py,25.1.0-1c11a3d85f,162702.28687298406,Transition
ExampleModel.py,25.1.0-1c11a3d85f,162702.28687298406,Transition
cooling_coils.py,25.1.0-1c11a3d85f,8176287.519355614,Transition
heatexchanger_desiccant_balancedflow.osm,25.1.0-1c11a3d85f,5271701.954155452,Transition
chillers_tertiary.rb,25.1.0-1c11a3d85f,3154714.5032508457,Transition
elcd_no_generators.osm,25.1.0-1c11a3d85f,1051195.5336258907,Transition
model_articulation1.osw,25.1.0-1c11a3d85f,0.0,Transition
unitary_vav_bypass_coiltypes.rb,25.1.0-1c11a3d85f,2364528.848216836,Transition
plant_op_deltatemp_schemes.osm,25.1.0-1c11a3d85f,3083836.7389938156,Transition
schedule_ruleset_2013.py,25.1.0-1c11a3d85f,6779896.990511612,Transition
environmental_factors.py,25.1.0-1c11a3d85f,1044617.6828109166,Transition
humidity_control_2.osm,25.1.0-1c11a3d85f,5805721.076082381,Transition
ems_1floor_SpaceType_1space.osm,25.1.0-1c11a3d85f,4509581.16405392,Transition
baseline_sys09.osm,25.1.0-1c11a3d85f,6739993.889746421,Transition
doas_heatexchanger_airtoair_sensibleandlatent.rb,25.1.0-1c11a3d85f,3284698.1431306135,Transition
zone_property_user_view_factors_by_surface_name.rb,25.1.0-1c11a3d85f,4511164.018644843,Transition
thermal_storage.rb,25.1.0-1c11a3d85f,7826220.744139093,Transition
afn_single_zone_nv.py,25.1.0-1c11a3d85f,1044617.6828109166,Transition
ducts_and_pipes.py,25.1.0-1c11a3d85f,5379326.588167029,Transition
zone_control_contaminant_controller.py,25.1.0-1c11a3d85f,6762798.36966116,Transition
ducts_and_pipes.rb,25.1.0-1c11a3d85f,5379326.588167029,Transition
lowtemprad_varflow.osm,25.1.0-1c11a3d85f,2089235.3656218331,Transition
coilsystem_waterhx.py,25.1.0-1c11a3d85f,4187095.867038517,Transition
unitary_test.py,25.1.0-1c11a3d85f,3395317.879242381,Transition
fuelcell.osm,25.1.0-1c11a3d85f,7460401.248382965,Transition
doas.py,25.1.0-1c11a3d85f,5759524.46963831,Transition
heatpump_plantloop_eir_heatrecovery.rb,25.1.0-1c11a3d85f,1170042.3223419779,Transition
schedule_fixed_interval_schedulefile.osm,25.1.0-1c11a3d85f,4177930.475485087,Transition
performanceprecisiontradeoffs.rb,25.1.0-1c11a3d85f,4411842.26260721,Transition
lowtemprad_constflow.osm,25.1.0-1c11a3d85f,9002253.27068145,Transition
baseline_sys01.rb,25.1.0-1c11a3d85f,7085198.363135735,Transition
sizing_zone_dszad.py,25.1.0-1c11a3d85f,2940905.9172505676,Transition
coil_cooling_dx.py,25.1.0-1c11a3d85f,1097050.925906649,Transition
unitary_test.osm,25.1.0-1c11a3d85f,3395317.879242381,Transition
swimmingpool_indoor.osm,25.1.0-1c11a3d85f,11497770.444925588,Transition
ghx_horizontal_trench_kusuda.py,25.1.0-1c11a3d85f,729.8191826412543,Transition
afn_single_zone_nv.rb,25.1.0-1c11a3d85f,1044617.6828109166,Transition
heatexchanger_airtoair_sensibleandlatent.rb,25.1.0-1c11a3d85f,3458679.4537353264,Transition
daylighting_devices.osm,25.1.0-1c11a3d85f,2940308.79246477,Transition
zone_hvac.rb,25.1.0-1c11a3d85f,4975556.494913556,Transition
daylighting_shades.osm,25.1.0-1c11a3d85f,5593637.517241074,Transition
doas.rb,25.1.0-1c11a3d85f,5759524.46963831,Transition
coil_cooling_dx_airloop.rb,25.1.0-1c11a3d85f,1095534.4185141479,Transition
ducts_and_pipes.osm,25.1.0-1c11a3d85f,5389098.58267746,Transition
airloop_avms.osm,25.1.0-1c11a3d85f,4182461.0413201842,Transition
baseline_sys02.rb,25.1.0-1c11a3d85f,4275603.029733375,Transition
tablemultivariablelookup.osm,25.1.0-1c11a3d85f,6123941.196056375,Transition
solar_collector_flat_plate_water.osm,25.1.0-1c11a3d85f,6130320.005276083,Transition
airloop_avms.rb,25.1.0-1c11a3d85f,4182461.0413201842,Transition
tablemultivariablelookup.rb,25.1.0-1c11a3d85f,6123950.674227578,Transition
baseline_sys06.osm,25.1.0-1c11a3d85f,6356952.5569142,Transition
ideal_loads_w_plenums.osm,25.1.0-1c11a3d85f,1145512.815268269,Transition
coilsystem_integrated_heatpump.osm,25.1.0-1c11a3d85f,1082937.9289851838,Transition
ghx_horizontal_trench_kusuda.rb,25.1.0-1c11a3d85f,729.8191826412543,Transition
zoneventilation_windandstackopenarea.rb,25.1.0-1c11a3d85f,10235837.252769232,Transition
unitary_vav_bypass.rb,25.1.0-1c11a3d85f,4590960.742004022,Transition
refrigeration_system.py,25.1.0-1c11a3d85f,8603952.082212185,Transition
headered_pumps.rb,25.1.0-1c11a3d85f,7694521.555271557,Transition
unitary_vav_bypass_plenum.py,25.1.0-1c11a3d85f,3806054.428330157,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,25.1.0-1c11a3d85f,4249575.971609571,Transition
utility_bill01.osm,25.1.0-1c11a3d85f,5653861.817065782,Transition
coil_waterheating_desuperheater_2.rb,25.1.0-1c11a3d85f,4678804.43271466,Transition
pv_and_storage_demandleveling.rb,25.1.0-1c11a3d85f,7098088.675971996,Transition
pthp_othercoils.osm,25.1.0-1c11a3d85f,3941165.75883082,Transition
unitary_systems_airloop_and_zonehvac.osm,25.1.0-1c11a3d85f,5648137.00165909,Transition
dist_ht_cl.rb,25.1.0-1c11a3d85f,7575911.720835549,Transition
zone_mixing.rb,25.1.0-1c11a3d85f,1044617.6828109166,Transition
foundation_kiva.py,25.1.0-1c11a3d85f,6384998.465504271,Transition
output_objects.osm,25.1.0-1c11a3d85f,1982985.0664347098,Transition
setpoint_managers.osm,25.1.0-1c11a3d85f,8019821.869134291,Transition
heatpump_hot_water.py,25.1.0-1c11a3d85f,4531399.914163533,Transition
foundation_kiva_customblocks.py,25.1.0-1c11a3d85f,6379861.296712173,Transition
chiller_electric_ashrae205.rb,25.1.0-1c11a3d85f,3136905.0195601583,Transition
unitary_vav_bypass_coiltypes.osm,25.1.0-1c11a3d85f,2364509.89187443,Transition
absorption_chillers.py,25.1.0-1c11a3d85f,7851783.371873942,Transition
zone_control_contaminant_controller.rb,25.1.0-1c11a3d85f,6762798.36966116,Transition
humidity_control_2.py,25.1.0-1c11a3d85f,5797816.281298969,Transition
space_level_dsoa.py,25.1.0-1c11a3d85f,31846295.072021745,Transition
environmental_factors.rb,25.1.0-1c11a3d85f,1044617.6828109166,Transition
foundation_kiva_customblocks.rb,25.1.0-1c11a3d85f,6379861.296712173,Transition
outputcontrol_timestamp.rb,25.1.0-1c11a3d85f,1960445.9753136593,Transition
pv_and_storage_demandleveling.osm,25.1.0-1c11a3d85f,5570615.039388663,Transition
schedule_fixed_interval_schedulefile.rb,25.1.0-1c11a3d85f,4248978.846823773,Transition
coilsystem_integrated_heatpump.rb,25.1.0-1c11a3d85f,1082928.4508139808,Transition
generator_microturbine.osm,25.1.0-1c11a3d85f,48482039.95359778,Transition
airterminal_fourpipebeam.py,25.1.0-1c11a3d85f,6123941.196056375,Transition
pvwatts.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
doas_coil_cooling_dx_two_speed.osm,25.1.0-1c11a3d85f,3392104.779204519,Transition
refrigeration_system_2.py,25.1.0-1c11a3d85f,3681141.610044065,Transition
availability_managers.osm,25.1.0-1c11a3d85f,4286247.015994493,Transition
refrigeration_system.rb,25.1.0-1c11a3d85f,8603952.082212185,Transition
storage_liion_battery.rb,25.1.0-1c11a3d85f,,Transition
water_economizer.py,25.1.0-1c11a3d85f,7916926.842553076,Transition
baseline_sys04.py,25.1.0-1c11a3d85f,4437111.067034763,Transition
doas_coil_cooling_dx_two_speed.py,25.1.0-1c11a3d85f,3392104.779204519,Transition
generator_microturbine.py,25.1.0-1c11a3d85f,55755901.31453187,Transition
zone_hvac_cooling_panel.osm,25.1.0-1c11a3d85f,1045034.7223438543,Transition
plenums.rb,25.1.0-1c11a3d85f,5223856.145922036,Transition
exterior_equipment.py,25.1.0-1c11a3d85f,4927341.038003217,Transition
coilsystem_waterhx.rb,25.1.0-1c11a3d85f,4187095.867038517,Transition
solar_collector_flat_plate_photovoltaicthermal.osm,25.1.0-1c11a3d85f,6261621.110953087,Transition
output_objects_2.rb,25.1.0-1c11a3d85f,1960445.9753136593,Transition
lowtemprad_electric.rb,25.1.0-1c11a3d85f,2104087.6598971426,Transition
plantloop_avms.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
airterminal_fourpipebeam.rb,25.1.0-1c11a3d85f,6123941.196056375,Transition
evaporative_cooling.rb,25.1.0-1c11a3d85f,7140494.013934813,Transition
coilsystem_integrated_heatpump.py,25.1.0-1c11a3d85f,1082890.538129168,Transition
schedule_file.py,25.1.0-1c11a3d85f,6911880.524515241,Transition
phase_change.py,25.1.0-1c11a3d85f,2740935.4612068636,Transition
plant_op_schemes.py,25.1.0-1c11a3d85f,,Transition
hightemprad.rb,25.1.0-1c11a3d85f,4425301.26571566,Transition
baseline_sys01.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
ideal_loads_w_plenums.py,25.1.0-1c11a3d85f,1145512.815268269,Transition
lifecyclecostparameters.rb,25.1.0-1c11a3d85f,162702.28687298406,Transition
solar_collector_flat_plate_water.rb,25.1.0-1c11a3d85f,7567182.325157464,Transition
electric_equipment_ITE.osm,25.1.0-1c11a3d85f,7891838.123378383,Transition
schedule_ruleset_2012_LeapYear.osm,25.1.0-1c11a3d85f,6792683.043464638,Transition
hightemprad.py,25.1.0-1c11a3d85f,4425301.26571566,Transition
epw_design_conditions.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
utility_bill01.rb,25.1.0-1c11a3d85f,7082610.82239728,Transition
water_heaters.py,25.1.0-1c11a3d85f,7543373.159095192,Transition
schedule_file.rb,25.1.0-1c11a3d85f,6911880.524515241,Transition
electric_equipment_ITE.rb,25.1.0-1c11a3d85f,7891838.123378383,Transition
airloop_and_zonehvac.osm,25.1.0-1c11a3d85f,5682144.67993593,Transition
evaporative_cooling.py,25.1.0-1c11a3d85f,7140494.013934813,Transition
roof_vegetation.osm,25.1.0-1c11a3d85f,4762818.9422592325,Transition
plant_op_schemes.osm,25.1.0-1c11a3d85f,,Transition
fan_on_off.py,25.1.0-1c11a3d85f,8523785.710176084,Transition
swimmingpool_indoor.py,25.1.0-1c11a3d85f,11497770.444925588,Transition
coil_cooling_dx.rb,25.1.0-1c11a3d85f,1097050.925906649,Transition
generator_windturbine.rb,25.1.0-1c11a3d85f,2940905.9172505676,Transition
output_objects.py,25.1.0-1c11a3d85f,1982985.0664347098,Transition
storage_liion_battery.osm,25.1.0-1c11a3d85f,,Transition
zone_hvac2.rb,25.1.0-1c11a3d85f,4223766.911423439,Transition
absorption_chillers.osm,25.1.0-1c11a3d85f,7851783.371873942,Transition
surface_properties_lwr.rb,25.1.0-1c11a3d85f,1953811.255471466,Transition
phase_change.osm,25.1.0-1c11a3d85f,2740935.4612068636,Transition
heatpump_airtowater_fuelfired.rb,25.1.0-1c11a3d85f,2114172.434057276,Transition
fan_systemmodel.py,25.1.0-1c11a3d85f,12020444.195922365,Transition
ghx_vertical_kusuda.osm,25.1.0-1c11a3d85f,616.0811282036562,Transition
asymmetric_interior_constructions.osm,25.1.0-1c11a3d85f,5825520.975725726,Transition
cooling_coils.rb,25.1.0-1c11a3d85f,8176287.519355614,Transition
lowtemprad_electric.py,25.1.0-1c11a3d85f,2104087.6598971426,Transition
fan_componentmodel.py,25.1.0-1c11a3d85f,3925356.169263995,Transition
roof_vegetation.rb,25.1.0-1c11a3d85f,4762818.9422592325,Transition
air_terminals.rb,25.1.0-1c11a3d85f,8524525.00752993,Transition
schedule_ruleset_2012_LeapYear.py,25.1.0-1c11a3d85f,6791223.405099357,Transition
afn_single_zone_nv.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
epw_design_conditions.rb,25.1.0-1c11a3d85f,7085198.363135735,Transition
airterminal_inletsidemixer.py,25.1.0-1c11a3d85f,3364286.346723323,Transition
heatpump_plantloop_eir_heatrecovery.osm,25.1.0-1c11a3d85f,1170042.3223419779,Transition
fan_componentmodel.osm,25.1.0-1c11a3d85f,3925356.169263995,Transition
utility_bill02.rb,25.1.0-1c11a3d85f,7081170.1403744025,Transition
zone_hvac_equipment_list.rb,25.1.0-1c11a3d85f,2984856.197119496,Transition
solar_collector_integralcollectorstorage.rb,25.1.0-1c11a3d85f,7716179.1764707165,Transition
unitary_system.rb,25.1.0-1c11a3d85f,3822622.2715932336,Transition
coilsystem_dxhx_desiccant_balancedflow.osm,25.1.0-1c11a3d85f,1160459.89125561,Transition
shadingcontrol_singlezone.osm,25.1.0-1c11a3d85f,6491760.585936364,Transition
tablemultivariablelookup.py,25.1.0-1c11a3d85f,6123950.674227578,Transition
window_property_frame_and_divider.osm,25.1.0-1c11a3d85f,1965459.9278801167,Transition
zone_air_movement.rb,25.1.0-1c11a3d85f,34215288.13887525,Transition
vrf_watercooled.rb,25.1.0-1c11a3d85f,6685731.3596084835,Transition
model_articulation1_bundle_git.osw,25.1.0-1c11a3d85f,0.0,Transition
surface_properties.osm,25.1.0-1c11a3d85f,7567371.888581526,Transition
window_property_frame_and_divider.rb,25.1.0-1c11a3d85f,1965459.9278801167,Transition
solar_collector_integralcollectorstorage.py,25.1.0-1c11a3d85f,7716179.1764707165,Transition
lowtemprad_constflow.rb,25.1.0-1c11a3d85f,8999011.736129979,Transition
shadingcontrol_singlezone.py,25.1.0-1c11a3d85f,6468169.417811765,Transition
outputcontrol_files.osm,25.1.0-1c11a3d85f,1960445.9753136593,Transition
baseline_sys06.rb,25.1.0-1c11a3d85f,6708791.750145706,Transition
heatpump_plantloop_eir.rb,25.1.0-1c11a3d85f,1663968.7800796535,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.py,25.1.0-1c11a3d85f,4249575.971609571,Transition
schedule_ruleset_2012_NonLeapYear.py,25.1.0-1c11a3d85f,6791223.405099357,Transition
plantloop_avms.rb,25.1.0-1c11a3d85f,7085198.363135735,Transition
outputcontrol_files.rb,25.1.0-1c11a3d85f,1960445.9753136593,Transition
heatpump_airtowater_fuelfired.py,25.1.0-1c11a3d85f,2114172.434057276,Transition
unitary_systems_airloop_and_zonehvac.py,25.1.0-1c11a3d85f,7295452.634934838,Transition
zoneventilation_windandstackopenarea.osm,25.1.0-1c11a3d85f,10637247.281393126,Transition
vrf_fluid_temperature_control_hr.rb,25.1.0-1c11a3d85f,1364591.2644574894,Transition
output_objects.rb,25.1.0-1c11a3d85f,1982985.0664347098,Transition
environmental_factors.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
zone_fan_exhaust.py,25.1.0-1c11a3d85f,4124492.546241822,Transition
lifecyclecostparameters.osm,25.1.0-1c11a3d85f,162550.63613373393,Transition
moisture_settings.osm,25.1.0-1c11a3d85f,,Transition
unitary_vav_bypass_coiltypes.py,25.1.0-1c11a3d85f,2364528.848216836,Transition
airterminal_cooledbeam.py,25.1.0-1c11a3d85f,6212931.745482592,Transition
baseline_sys05.rb,25.1.0-1c11a3d85f,7416744.791821334,Transition
coilsystem_dxhx.py,25.1.0-1c11a3d85f,1160459.89125561,Transition
zone_hvac_equipment_list.osm,25.1.0-1c11a3d85f,2984856.197119496,Transition
unitary_system.py,25.1.0-1c11a3d85f,3822622.2715932336,Transition
plantloop_avms.osm,25.1.0-1c11a3d85f,5648080.132631871,Transition
interior_partitions.rb,25.1.0-1c11a3d85f,3587592.0602691406,Transition
coil_userdefined.rb,25.1.0-1c11a3d85f,3133075.8383940924,Transition
surface_properties.py,25.1.0-1c11a3d85f,8783098.996122604,Transition
baseline_sys09.py,25.1.0-1c11a3d85f,6755831.913826857,Transition
coil_cooling_dx_singlespeed_thermalstorage.rb,25.1.0-1c11a3d85f,1137010.8956990584,Transition
heatrecovery_chiller.py,25.1.0-1c11a3d85f,5232339.10914884,Transition
heatpump_plantloop_eir.osm,25.1.0-1c11a3d85f,1663968.7800796535,Transition
refrigeration_system_2.rb,25.1.0-1c11a3d85f,3681141.610044065,Transition
daylighting_no_shades.osm,25.1.0-1c11a3d85f,5573752.3140569,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.osm,25.1.0-1c11a3d85f,4249575.971609571,Transition
plant_op_deltatemp_schemes.py,25.1.0-1c11a3d85f,3083836.7389938156,Transition
absorption_chillers.rb,25.1.0-1c11a3d85f,7851783.371873942,Transition
design_day.rb,25.1.0-1c11a3d85f,1044617.6828109166,Transition
chiller_reformulated.py,25.1.0-1c11a3d85f,1403669.7643280074,Transition
infiltration.py,25.1.0-1c11a3d85f,1044617.6828109166,Transition
pthp_othercoils.py,25.1.0-1c11a3d85f,4544858.917271982,Transition
setpoint_manager_systemnodereset.rb,25.1.0-1c11a3d85f,3194835.601953708,Transition
window_property_frame_and_divider.py,25.1.0-1c11a3d85f,1965459.9278801167,Transition
generator_windturbine.py,25.1.0-1c11a3d85f,2940905.9172505676,Transition
coolingtowers.rb,25.1.0-1c11a3d85f,7876748.874822996,Transition
solar_collector_integralcollectorstorage.osm,25.1.0-1c11a3d85f,6279440.072814978,Transition
zoneventilation_windandstackopenarea.py,25.1.0-1c11a3d85f,10235837.252769232,Transition
baseline_sys03.osm,25.1.0-1c11a3d85f,7139375.589732843,Transition
fluid_coolers.rb,25.1.0-1c11a3d85f,5310562.456088298,Transition
pthp_othercoils.rb,25.1.0-1c11a3d85f,4544858.917271982,Transition
fan_on_off.rb,25.1.0-1c11a3d85f,8523785.710176084,Transition
heatrecovery_chiller.rb,25.1.0-1c11a3d85f,5232339.10914884,Transition
plantloop_avms_temp.rb,25.1.0-1c11a3d85f,7092022.64640199,Transition
zone_hvac_cooling_panel.rb,25.1.0-1c11a3d85f,1045034.7223438543,Transition
heatrecovery_chiller.osm,25.1.0-1c11a3d85f,5232339.10914884,Transition
ems.osm,25.1.0-1c11a3d85f,32803.950534043914,Transition
schedule_ruleset_2012_LeapYear.rb,25.1.0-1c11a3d85f,6791223.405099357,Transition
sizing_zone_dszad.rb,25.1.0-1c11a3d85f,2940905.9172505676,Transition
unitary_system.osm,25.1.0-1c11a3d85f,3822622.2715932336,Transition
schedule_ruleset_2013.osm,25.1.0-1c11a3d85f,6781356.628876895,Transition
moisture_settings.py,25.1.0-1c11a3d85f,,Transition
vrf_fluid_temperature_control.py,25.1.0-1c11a3d85f,1323645.564859954,Transition
plenums.py,25.1.0-1c11a3d85f,5223856.145922036,Transition
zone_fan_exhaust.osm,25.1.0-1c11a3d85f,4123544.7291215085,Transition
heatpump_plantloop_eir.py,25.1.0-1c11a3d85f,1663968.7800796535,Transition
dist_ht_cl.py,25.1.0-1c11a3d85f,7575911.720835549,Transition
refrigeration_system.osm,25.1.0-1c11a3d85f,8603952.082212185,Transition
baseline_sys10.py,25.1.0-1c11a3d85f,5918331.228146806,Transition
plantloop_avms_temp.osm,25.1.0-1c11a3d85f,7092022.64640199,Transition
performanceprecisiontradeoffs.osm,25.1.0-1c11a3d85f,4411842.26260721,Transition
unitary_system_performance_multispeed.osm,25.1.0-1c11a3d85f,2158208.017467033,Transition
foundation_kiva.rb,25.1.0-1c11a3d85f,6384998.465504271,Transition
photovoltaics.py,25.1.0-1c11a3d85f,7085634.359011078,Transition
baseline_sys08.osm,25.1.0-1c11a3d85f,6543407.140822236,Transition
generator_microturbine.rb,25.1.0-1c11a3d85f,55756147.746983156,Transition
pv_and_storage_facilityexcess.rb,25.1.0-1c11a3d85f,7090468.226324677,Transition
space_load_instances.rb,25.1.0-1c11a3d85f,4986645.955221222,Transition
utility_bill02.py,25.1.0-1c11a3d85f,7081170.1403744025,Transition
exterior_equipment.rb,25.1.0-1c11a3d85f,4927341.038003217,Transition
roof_vegetation.py,25.1.0-1c11a3d85f,4762818.9422592325,Transition
python_plugin.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
additional_props.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
baseline_sys03.rb,25.1.0-1c11a3d85f,7146389.436423163,Transition
baseline_sys04.osm,25.1.0-1c11a3d85f,4464247.071189334,Transition
zone_hvac.osm,25.1.0-1c11a3d85f,3808547.187356581,Transition
availability_managers.py,25.1.0-1c11a3d85f,4283830.082337694,Transition
schedule_fixed_interval.rb,25.1.0-1c11a3d85f,4248978.846823773,Transition
daylighting_shades.rb,25.1.0-1c11a3d85f,7121831.494835845,Transition
heatpump_varspeed.py,25.1.0-1c11a3d85f,1578816.8899907053,Transition
interior_partitions.osm,25.1.0-1c11a3d85f,6130338.96161849,Transition
unitary_vav_bypass_plenum.rb,25.1.0-1c11a3d85f,3802367.4197321385,Transition
output_objects_2.osm,25.1.0-1c11a3d85f,1960445.9753136593,Transition
ems_scott.osm,25.1.0-1c11a3d85f,,Transition
vrf.py,25.1.0-1c11a3d85f,3812755.495370772,Transition
foundation_kiva_customblocks.osm,25.1.0-1c11a3d85f,4614447.650245385,Transition
