,E+,SiteKBTU,OS
unitary_vav_bypass_plenum.osm,25.1.0-1c11a3d85f,3802367.4197321385,Transition
baseline_sys09.rb,25.1.0-1c11a3d85f,6755831.913826857,Transition
daylighting_shades.py,25.1.0-1c11a3d85f,7121831.494835845,Transition
thermal_storage.osm,25.1.0-1c11a3d85f,7826220.744139093,Transition
photovoltaics_sandia.osm,25.1.0-1c11a3d85f,1960493.3661696748,Transition
pv_and_storage_facilityexcess.osm,25.1.0-1c11a3d85f,5641454.890960881,Transition
multiple_airloops.py,25.1.0-1c11a3d85f,13207405.053861935,Transition
tablelookup.py,25.1.0-1c11a3d85f,2245065.9783725454,Transition
setpoint_manager_systemnodereset.py,25.1.0-1c11a3d85f,3194835.601953708,Transition
vrf.rb,25.1.0-1c11a3d85f,3812755.495370772,Transition
multi_stage.rb,25.1.0-1c11a3d85f,2979633.7247865694,Transition
schedule_ruleset_2013.rb,25.1.0-1c11a3d85f,6779896.990511612,Transition
centralheatpumpsystem.osm,25.1.0-1c11a3d85f,4617509.099543997,Transition
ems.py,25.1.0-1c11a3d85f,7085198.363135735,Transition
availability_managers.rb,25.1.0-1c11a3d85f,4283830.082337694,Transition
foundation_kiva.osm,25.1.0-1c11a3d85f,4619518.471839062,Transition
electric_equipment_ITE.py,25.1.0-1c11a3d85f,7891838.123378383,Transition
multiple_airloops.osm,25.1.0-1c11a3d85f,13207405.053861935,Transition
water_heaters.rb,25.1.0-1c11a3d85f,7548207.02640879,Transition
swimmingpool_indoor.rb,25.1.0-1c11a3d85f,11497770.444925588,Transition
coilsystem_dxhx_desiccant_balancedflow.py,25.1.0-1c11a3d85f,1160459.89125561,Transition
design_day.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
multi_stage_electric.rb,25.1.0-1c11a3d85f,2177903.6572271436,Transition
adiabatic_construction_set.rb,25.1.0-1c11a3d85f,1548856.3908176015,Transition
fluid_coolers.osm,25.1.0-1c11a3d85f,5310562.456088298,Transition
dual_duct.rb,25.1.0-1c11a3d85f,5386236.174974113,Transition
coilsystem_dxhx.rb,25.1.0-1c11a3d85f,1160459.89125561,Transition
adiabatic_construction_set.py,25.1.0-1c11a3d85f,1548856.3908176015,Transition
zone_mixing.osm,25.1.0-1c11a3d85f,1044617.6828109166,Transition
baseline_sys07.rb,25.1.0-1c11a3d85f,7826220.744139093,Transition
storage_liion_battery.py,25.1.0-1c11a3d85f,,Transition
ptac_othercoils.rb,25.1.0-1c11a3d85f,4540906.519880275,Transition
ghx_vertical_kusuda.py,25.1.0-1c11a3d85f,616.0811282036562,Transition
surfacecontrol_moveableinsulation.py,25.1.0-1c11a3d85f,2952573.5460016243,Transition
zone_property_user_view_factors_by_surface_name.osm,25.1.0-1c11a3d85f,3783420.555497075,Transition
thermal_storage.py,25.1.0-1c11a3d85f,7826220.744139093,Transition
meters.rb,25.1.0-1c11a3d85f,7826220.744139093,Transition
coil_cooling_dx_airloop.py,25.1.0-1c11a3d85f,1095534.4185141479,Transition
python_plugin.rb,25.1.0-1c11a3d85f,1044617.6828109166,Transition
coilsystem_waterhx.osm,25.1.0-1c11a3d85f,4187095.867038517,Transition
shadowcalculation.rb,25.1.0-1c11a3d85f,2940905.9172505676,Transition
air_chillers.rb,25.1.0-1c11a3d85f,12550416.138745556,Transition
elcd_no_generators.py,25.1.0-1c11a3d85f,1051195.5336258907,Transition
schedule_file.osm,25.1.0-1c11a3d85f,6913264.337510899,Transition
hot_water.py,25.1.0-1c11a3d85f,7154682.8362259045,Transition
ghx_horizontal_trench_xing.osm,25.1.0-1c11a3d85f,,Transition
additional_props.osm,25.1.0-1c11a3d85f,5648080.132631871,Transition
adiabatic_construction_set.osm,25.1.0-1c11a3d85f,1897861.6108593708,Transition
daylighting_no_shades.rb,25.1.0-1c11a3d85f,7011401.32214814,Transition
dist_ht_cl.osm,25.1.0-1c11a3d85f,7577020.6668663155,Transition
airterminal_inletsidemixer.osm,25.1.0-1c11a3d85f,3364286.346723323,Transition
pv_and_storage_facilityexcess.py,25.1.0-1c11a3d85f,7090468.226324677,Transition
schedule_fixed_interval_schedulefile.py,25.1.0-1c11a3d85f,4248978.846823773,Transition
zone_hvac_equipment_list.py,25.1.0-1c11a3d85f,2984856.197119496,Transition
coolingtowers.py,25.1.0-1c11a3d85f,7876748.874822996,Transition
exterior_equipment.osm,25.1.0-1c11a3d85f,4927341.038003217,Transition
centralheatpumpsystem.rb,25.1.0-1c11a3d85f,4631290.360473353,Transition
fan_systemmodel.osm,25.1.0-1c11a3d85f,11914231.809420055,Transition
heatpump_hot_water.rb,25.1.0-1c11a3d85f,4531399.914163533,Transition
multi_stage.osm,25.1.0-1c11a3d85f,2979747.4628410074,Transition
humidity_control_2.rb,25.1.0-1c11a3d85f,5797816.281298969,Transition
vrf_fluid_temperature_control_hr.osm,25.1.0-1c11a3d85f,1364591.2644574894,Transition
vrf_watercooled.osm,25.1.0-1c11a3d85f,6686006.226573375,Transition
ghx_vertical_xing.osm,25.1.0-1c11a3d85f,616.0811282036562,Transition
phase_change.rb,25.1.0-1c11a3d85f,2740935.4612068636,Transition
ghx_vertical_kusuda.rb,25.1.0-1c11a3d85f,616.0811282036562,Transition
pvwatts.rb,25.1.0-1c11a3d85f,7085198.363135735,Transition
ideal_plant.osm,25.1.0-1c11a3d85f,7163232.14665113,Transition
coil_cooling_dx_singlespeed_thermalstorage.py,25.1.0-1c11a3d85f,1137010.8956990584,Transition
outputcontrol_timestamp.osm,25.1.0-1c11a3d85f,1960445.9753136593,Transition
plant_op_schemes.rb,25.1.0-1c11a3d85f,,Transition
